album;title;artist;year;length_seconds;filesize;sha256;filename
echo.msk.ru;Feb 24, 08:22;beseda;1994;2189.1455;8756712;16a5562dd21b3b697de69520c92e7a6a2c363f9eb256ad342f102788a9239935;1994-02-24-beseda-0822.mp3
echo.msk.ru;Oct 21, 13:10;netak;1995;2086.3305;8345450;da2370b332e6e1a4a8e450022d33062a20cb00d3d38a491e0521553cda461ecd;1995-10-21-netak-1310.mp3
echo.msk.ru;Sep 23, 13:39;beseda;1996;2447.52975;9790207;986d0ec6751bc41db9159bf5091eb2f38a0f2bd15aec9007c6a9cfc6d7cd50bc;1996-09-23-beseda-1339.mp3
echo.msk.ru;Dec 20, 14:08;netak;1997;2307.06225;9228377;6a3433ec02d9ec9da45423a6f3416308853911958d7899d1ce7317d06a4cff04;1997-12-20-netak-1408.mp3
echo.msk.ru;Jan 30, 15:08;beseda;1998;703.77375;2815183;f28e53f4a83b7b8918b2ae61927d7edf2fe16a3dbaa22b13483ce6e5a276ac73;1998-01-30-beseda-1508.mp3
echo.msk.ru;Apr 30, 12:15;beseda;1998;1473.4367346938775;15017312;ba6eadf3398d9ce9c94f02189f3cddf402c44930a9e2468fa0acf9cadc278bd4;1998-04-30-beseda-1215-3611060.mp3
echo.msk.ru;Nov 16, 20:08;doponed;1998;1873.07525;7492390;88d0a94fdf2328036003f17370e4ee949914ef6c15e759061df28a72bd1c04ff;1998-11-16-doponed-2008.mp3
echo.msk.ru;Nov 22, 21:21;beseda;1998;2543.57475;10174429;d0c958c576d11b298206d9cc004c8f56e6a028f51015b5dce0df1262bb9de0bb;1998-11-22-beseda-2121.mp3
echo.msk.ru;Jan 19, 01:01;vosadu;2000;126.0455;504270;2396a2b66b87b236d6a087265165a8a8ba32a917a3cd795c2a6cef56a76a0370;2000-01-19-vosadu-0101.mp3
echo.msk.ru;Feb 01, 13:06;ars;2000;447.297;1789312;8dd8380f88cc3933b1f482e5ddee8a96c0ad4224806668c494f0646ec21375e2;2000-02-01-ars-1306.mp3
echo.msk.ru;Jul 09, 00:08;romans;2000;3089.69075;12358851;ed16cdca0c40a21fc607a121e1671b398abc04158a209fd8af960d85c7538eea;2000-07-09-romans-0008.mp3
echo.msk.ru;Jan 05, 02:04;asa;2001;1718.78475;6875263;bad610bf98bc5369df94b9fb431b557160dee9cad5cc608d9b0fc545915cbde1;2001-01-05-asa-0204.mp3
echo.msk.ru;Jan 11, 01:05;alekseev;2001;3217.045;12868270;4f60c6c86cdbac592da4a53ff3c67b554e78953ef87da36d7419e73bd3fa93a3;2001-01-11-alekseev-0105.mp3
echo.msk.ru;Mar 09, 02:03;asa;2001;1857.91275;7431736;7f76b99c918a78854b93442425999741373f6b1745e82745117d3a89fdb0e4d0;2001-03-09-asa-0203.mp3
echo.msk.ru;Mar 18, 00:08;romans;2001;2410.925;9643788;82b18900fae34b6384094853b4d58a213d79dd87829cbf93c054d863b0e1a44b;2001-03-18-romans-0008.mp3
echo.msk.ru;Aug 02, 13:25;firstruble;2001;106.57959183673469;1706937;e5aea966cb3f1170bf4fa8a1375a04c72fc044796d881eb972b44ea668378e7f;2001-08-02-firstruble-1325.mp3
echo.msk.ru;Aug 04, 20:53;firstruble;2001;79.7075;318922;fc85325bd8e009a30c160d9a99010646025ddc0547e2cc2e157a1b304cec38d4;2001-08-04-firstruble-2053.mp3
echo.msk.ru;Aug 07, 20:03;firstruble;2001;109.92326530612245;1760442;458a83d90b3a89485181ba21a618caf9b9989dc01655054e28eaebd6ae4b5b6b;2001-08-07-firstruble-2003.mp3
echo.msk.ru;Aug 08, 14:40;firstruble;2001;69.7469387755102;1117628;27aec2800e30cf7a5f7ddb63a2884713dca09f73a2db5d404949da1511765908;2001-08-08-firstruble-1440.mp3
echo.msk.ru;Aug 13, 18:48;firstruble;2001;130.4816326530612;2089375;59bbfdec74f82362042859c5ffa612f3659a959432a61f9a6b8911476acfddec;2001-08-13-firstruble-1848.mp3
echo.msk.ru;Aug 15, 01:01;firstruble;2001;78.83755102040816;1263075;cf2f56cb39e79b813f3736a5660461146ab2d610fa8038324e9c3bca84799e29;2001-08-15-firstruble-0101.mp3
echo.msk.ru;Aug 16, 13:41;firstruble;2001;102.76571428571428;1645923;614bd9d91245f9c5c6c9272d747821ca459b4895543713235fb11f002f500a86;2001-08-16-firstruble-1341.mp3
echo.msk.ru;Aug 19, 20:10;beseda;2001;3067.12025;12268569;3dbb4f96650a8317ad130c0a40478195531daad1cff1111a9714a49ef9d7ba2e;2001-08-19-beseda-2010.mp3
echo.msk.ru;Aug 23, 17:35;firstruble;2001;129.51510204081632;2073915;eb46eed100744606bcbb5a379b37e8b0ca6da8db0211f3aa848b0176d455563a;2001-08-23-firstruble-1735.mp3
echo.msk.ru;Sep 07, 11:39;firstruble;2001;82.15510204081633;1316160;c65d5d3d51aa6e0402d1ba5ecce8d07038505b4690d59571600cc81685fc5a6e;2001-09-07-firstruble-1139.mp3
echo.msk.ru;Sep 10, 02:03;asa;2001;1917.114;7668580;d2828699f0d2062bb8f69fd733f72f5b602ddcc383b2d7b2b3dbbfc4ee87b394;2001-09-10-asa-0203.mp3
echo.msk.ru;Sep 17, 02:03;asa;2001;1863.7435;7455098;651276afc2c3b216cc7ed77adfa4d417567a896f6fdd01334fd7446c236b98e4;2001-09-17-asa-0203.mp3
echo.msk.ru;Sep 18, 11:00;firstruble;2001;125.02204081632654;2002035;335ce8e13032fe77788acb4a47f93d821b19bdd6276fdccd46da60b390b94909;2001-09-18-firstruble-1100.mp3
echo.msk.ru;Sep 30, 00:08;romans;2001;2081.8605;8327530;d20e37b5cfa1f601c40a36f536dbf3ec37eb09e762be01620f757f1bb402b893;2001-09-30-romans-0008.mp3
echo.msk.ru;Oct 04, 15:34;firstruble;2001;118.7265306122449;1901298;b481efc37da82dfbf05ab7e50e1b2a9f8c54e1d2ba7353c098bf7ad516e6cb2e;2001-10-04-firstruble-1534.mp3
echo.msk.ru;Oct 08, 02:04;asa;2001;1729.965;6919984;11cc30494aa8345ad0583ca108325dfc0c39ebf06a114142de1b2ddfd645b210;2001-10-08-asa-0204.mp3
echo.msk.ru;Oct 15, 02:03;asa;2001;1905.3525;7621534;d1c736f6b72b3d007f6ba0c781532ed531793015cc29ea5be6110baf88c8dee9;2001-10-15-asa-0203.mp3
echo.msk.ru;Oct 22, 02:03;asa;2001;1738.59875;6954519;2a6bedd86c7ed02eae8f608ce04eef0c402e9871fb05c64c2485873394916164;2001-10-22-asa-0203.mp3
